"isono","year","sexno","ageno","eduno","pmage"
4,2010,0,0,0,NA
4,2015,0,0,0,NA
4,2020,0,0,0,NA
4,2025,0,0,0,NA
4,2030,0,0,0,NA
4,2035,0,0,0,NA
4,2040,0,0,0,NA
4,2045,0,0,0,NA
4,2050,0,0,0,NA
4,2055,0,0,0,NA
4,2060,0,0,0,NA
4,2065,0,0,0,NA
4,2070,0,0,0,NA
4,2075,0,0,0,NA
4,2080,0,0,0,NA
4,2085,0,0,0,NA
4,2090,0,0,0,NA
4,2095,0,0,0,NA
8,2010,0,0,0,NA
8,2015,0,0,0,NA
8,2020,0,0,0,NA
8,2025,0,0,0,NA
8,2030,0,0,0,NA
8,2035,0,0,0,NA
8,2040,0,0,0,NA
8,2045,0,0,0,NA
8,2050,0,0,0,NA
8,2055,0,0,0,NA
8,2060,0,0,0,NA
8,2065,0,0,0,NA
8,2070,0,0,0,NA
8,2075,0,0,0,NA
8,2080,0,0,0,NA
8,2085,0,0,0,NA
8,2090,0,0,0,NA
8,2095,0,0,0,NA
12,2010,0,0,0,NA
12,2015,0,0,0,NA
12,2020,0,0,0,NA
12,2025,0,0,0,NA
12,2030,0,0,0,NA
12,2035,0,0,0,NA
12,2040,0,0,0,NA
12,2045,0,0,0,NA
12,2050,0,0,0,NA
12,2055,0,0,0,NA
12,2060,0,0,0,NA
12,2065,0,0,0,NA
12,2070,0,0,0,NA
12,2075,0,0,0,NA
12,2080,0,0,0,NA
12,2085,0,0,0,NA
12,2090,0,0,0,NA
12,2095,0,0,0,NA
24,2010,0,0,0,NA
24,2015,0,0,0,NA
24,2020,0,0,0,NA
24,2025,0,0,0,NA
24,2030,0,0,0,NA
24,2035,0,0,0,NA
24,2040,0,0,0,NA
24,2045,0,0,0,NA
24,2050,0,0,0,NA
24,2055,0,0,0,NA
24,2060,0,0,0,NA
24,2065,0,0,0,NA
24,2070,0,0,0,NA
24,2075,0,0,0,NA
24,2080,0,0,0,NA
24,2085,0,0,0,NA
24,2090,0,0,0,NA
24,2095,0,0,0,NA
31,2010,0,0,0,NA
31,2015,0,0,0,NA
31,2020,0,0,0,NA
31,2025,0,0,0,NA
31,2030,0,0,0,NA
31,2035,0,0,0,NA
31,2040,0,0,0,NA
31,2045,0,0,0,NA
31,2050,0,0,0,NA
31,2055,0,0,0,NA
31,2060,0,0,0,NA
31,2065,0,0,0,NA
31,2070,0,0,0,NA
31,2075,0,0,0,NA
31,2080,0,0,0,NA
31,2085,0,0,0,NA
31,2090,0,0,0,NA
31,2095,0,0,0,NA
32,2010,0,0,0,NA
32,2015,0,0,0,NA
32,2020,0,0,0,NA
32,2025,0,0,0,NA
32,2030,0,0,0,NA
32,2035,0,0,0,NA
32,2040,0,0,0,NA
32,2045,0,0,0,NA
32,2050,0,0,0,NA
32,2055,0,0,0,NA
32,2060,0,0,0,NA
32,2065,0,0,0,NA
32,2070,0,0,0,NA
32,2075,0,0,0,NA
32,2080,0,0,0,NA
32,2085,0,0,0,NA
32,2090,0,0,0,NA
32,2095,0,0,0,NA
36,2010,0,0,0,NA
36,2015,0,0,0,NA
36,2020,0,0,0,NA
36,2025,0,0,0,NA
36,2030,0,0,0,NA
36,2035,0,0,0,NA
36,2040,0,0,0,NA
36,2045,0,0,0,NA
36,2050,0,0,0,NA
36,2055,0,0,0,NA
36,2060,0,0,0,NA
36,2065,0,0,0,NA
36,2070,0,0,0,NA
36,2075,0,0,0,NA
